fsq_id,distance_station,latitude,longitude,name,category_name,rating,city_bikes_id
4aabfc16f964a520685b20e3,457,49.276963,-123.126944,Morrissey Irish Bar & Restaurant,Pub,,4
5d3a13ed0362970008f60887,608,49.279891,-123.123788,Pallet Coffee Roasters,Coffee Shop,,4
52f3fa78498e7fdade825f16,613,49.278414,-123.12788,Breka Bakery & Cafe,Bakery,,4
559ff1da498e818b3ace65a4,786,49.27371,-123.132588,Ancora Waterfront Dining and Patio,Mediterranean Restaurant,,4
4a8e3c1af964a520371220e3,474,49.278491,-123.124398,The Templeton,Bistro,,4
4aaec434f964a520346320e3,924,49.282578,-123.125234,Le Crocodile Restaurant,French Restaurant,,4
59d195e16f706a3692499c29,654,49.275175,-123.11284,Honey Salt,Restaurant,,4
4b5fa47ff964a52000c629e3,674,49.280189,-123.118297,Japadog,Hot Dog Joint,,4
4d2cce46ae3a8cfa4067bf70,993,49.283302,-123.11938,Hawksworth Restaurant,Restaurant,,4
590b984f1c675b2cd75b01e1,618,49.278516,-123.115802,Marutama Ramen,Ramen Restaurant,,4
5a0fd58f1b0ea50e677fd1a2,612,49.280066,-123.121369,Dublin Calling,Pub,,4
51742960498e908f74206e41,746,49.281034,-123.119018,Five Guys Burgers & Fries,Burger Joint,,4
58fa60c8a35dce24a1fc26cb,704,49.280369,-123.117907,JINYA Ramen Bar - Vancouver Downtown,Ramen Restaurant,,4
4aa83c06f964a5204d5020e3,933,49.27216,-123.134158,The Sandbar Seafood Restaurant,Lounge,,4
4aa74e0df964a520a64c20e3,890,49.282197,-123.124147,Japa Dog,Hot Dog Joint,,4
5445a54e498e9497033f48c4,629,49.277218,-123.11415,Boston Pizza,Pizzeria,,4
51c28ccf498e3b117e3f7f29,516,49.277992,-123.126627,Lux Lounge,Bar,,4
4aa7ed88f964a5200b4e20e3,876,49.282326,-123.123995,Salathai Thai Restaurant,Thai Restaurant,,4
53c32265498e7aa07942e9c1,951,49.283021,-123.123893,Boulevard Kitchen & Oyster Bar,French Restaurant,,4
56a8fbd6498e80ba3f11b798,512,49.27863,-123.118488,Per Se Social Corner,Deli,,4
4aa17172f964a520904020e3,930,49.282707,-123.123298,JOEY Burrard,New American Restaurant,,4
56fb1786498e8be90b4f49c4,716,49.280036,-123.127045,Starbucks,Coffee Shop,,4
4aaa02cbf964a520905520e3,124,49.275516,-123.120899,Yaletown Brewing Co,Sports Bar,,4
4aada5a2f964a520236120e3,693,49.268684,-123.118613,The Wicklow Pub,Pub,,4
60676cf3423ee5595c4a8a8a,725,49.281091,-123.1217,Tendon Kohaku,Japanese Restaurant,,4
4aa72e8ef964a520284c20e3,791,49.281585,-123.123689,Earls,Restaurant,,4
4aa7f806f964a520524e20e3,429,49.276947,-123.126213,Two Parrots Taverna,Burger Joint,,4
53eee0b9498e381a6c7eaa98,651,49.26908,-123.118647,Mahony & Sons,Irish Pub,,4
6078a8f25143892cb9e9c954,784,49.277941,-123.131327,Maxine's Cafe & Bar,Restaurant,,4
4dbf5ef81e72dd48b1f1a22c,734,49.278181,-123.113339,Frankie's Italian Kitchen & Bar,Lounge,,4
4ac6bae0f964a5200eb620e3,976,49.28053,-123.131711,Samurai Japanese Restaurant,Sushi Restaurant,,4
4aa74216f964a520814c20e3,808,49.27966,-123.129771,The Fountainhead Pub,Gay Bar,,4
551af7be498e3ed18d7107de,229,49.27621,-123.119904,The Greek by Anatoli,Greek Restaurant,,4
4aa83aacf964a520405020e3,886,49.269422,-123.131167,Dockside Restaurant,Hotel Bar,,4
4f84f7e677169e48de22e5b4,798,49.281708,-123.120617,Freshslice Pizza,Pizzeria,,4
4aa9415ff964a520af5220e3,184,49.273405,-123.119989,Starbucks,Coffee Shop,,4
55032d19498eefc0748c452f,543,49.276941,-123.115262,Rocanini Coffee Roasters,Coffee Shop,,4
4aa7f801f964a520514e20e3,799,49.279953,-123.114494,Library Square Public House,Restaurant,,4
4aa8005bf964a520a24e20e3,59,49.280213,-123.1097,Chambar,Belgian Restaurant,,5
4d9b41359298b1f7635b5338,391,49.283261,-123.109473,Revolver,Café,,5
5827c3091dbf6c7dd8ddfd6c,336,49.282787,-123.110244,Nemesis Coffee,Coffee Shop,,5
5cc8a9f4286fda002cab9b57,299,49.282484,-123.111029,The Magnet,Beer Bar,,5
4abea310f964a520ff8e20e3,498,49.284105,-123.108409,Pourhouse Restaurant,Restaurant,,5
